danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,image_path,error
0.553,0.587,5.0,-6.829,1.0,0.0277,0.345,0.1,0.256,0.346,90.018,audio_features,2Jw3VjB1xy5KHBqEeAC6VK,spotify:track:2Jw3VjB1xy5KHBqEeAC6VK,https://api.spotify.com/v1/tracks/2Jw3VjB1xy5KHBqEeAC6VK,https://api.spotify.com/v1/audio-analysis/2Jw3VjB1xy5KHBqEeAC6VK,242293.0,4.0,Album-Cover-GAN/images/2Jw3VjB1xy5KHBqEeAC6VK.jpeg,
0.761,0.657,11.0,-4.996,0.0,0.336,0.0905,2.54e-06,0.0657,0.608,145.132,audio_features,4rwidVfKmPD2fjWpFEZk1P,spotify:track:4rwidVfKmPD2fjWpFEZk1P,https://api.spotify.com/v1/tracks/4rwidVfKmPD2fjWpFEZk1P,https://api.spotify.com/v1/audio-analysis/4rwidVfKmPD2fjWpFEZk1P,257424.0,4.0,Album-Cover-GAN/images/4rwidVfKmPD2fjWpFEZk1P.jpeg,
0.866,0.883,4.0,-3.367,1.0,0.116,0.13,0.000482,0.0635,0.771,118.017,audio_features,3mArEKefF5c1uEoxqCWWSX,spotify:track:3mArEKefF5c1uEoxqCWWSX,https://api.spotify.com/v1/tracks/3mArEKefF5c1uEoxqCWWSX,https://api.spotify.com/v1/audio-analysis/3mArEKefF5c1uEoxqCWWSX,157611.0,4.0,Album-Cover-GAN/images/3mArEKefF5c1uEoxqCWWSX.jpeg,
0.362,0.54,10.0,-6.031,1.0,0.0528,0.338,0.0,0.139,0.3,78.007,audio_features,1ei3hzQmrgealgRKFxIcWn,spotify:track:1ei3hzQmrgealgRKFxIcWn,https://api.spotify.com/v1/tracks/1ei3hzQmrgealgRKFxIcWn,https://api.spotify.com/v1/audio-analysis/1ei3hzQmrgealgRKFxIcWn,216410.0,3.0,Album-Cover-GAN/images/1ei3hzQmrgealgRKFxIcWn.jpeg,
0.66,0.76,9.0,-4.04,1.0,0.436,0.105,0.0,0.0582,0.799,177.854,audio_features,3XbzMSWKdp8FzcQHA9BeXw,spotify:track:3XbzMSWKdp8FzcQHA9BeXw,https://api.spotify.com/v1/tracks/3XbzMSWKdp8FzcQHA9BeXw,https://api.spotify.com/v1/audio-analysis/3XbzMSWKdp8FzcQHA9BeXw,191095.0,4.0,Album-Cover-GAN/images/3XbzMSWKdp8FzcQHA9BeXw.jpeg,
0.564,0.714,7.0,-4.987,1.0,0.129,0.0549,0.0,0.155,0.33,175.924,audio_features,37f4ITSlgPX81ad2EvmVQr,spotify:track:37f4ITSlgPX81ad2EvmVQr,https://api.spotify.com/v1/tracks/37f4ITSlgPX81ad2EvmVQr,https://api.spotify.com/v1/audio-analysis/37f4ITSlgPX81ad2EvmVQr,204013.0,4.0,Album-Cover-GAN/images/37f4ITSlgPX81ad2EvmVQr.jpeg,
0.831,0.39,8.0,-9.31,1.0,0.0873,0.0134,1.04e-05,0.132,0.292,101.978,audio_features,3CyMDd2MLUwAa0nQoScVYC,spotify:track:3CyMDd2MLUwAa0nQoScVYC,https://api.spotify.com/v1/tracks/3CyMDd2MLUwAa0nQoScVYC,https://api.spotify.com/v1/audio-analysis/3CyMDd2MLUwAa0nQoScVYC,169412.0,4.0,Album-Cover-GAN/images/3CyMDd2MLUwAa0nQoScVYC.jpeg,
0.286,0.445,6.0,-8.087,1.0,0.0347,0.355,0.0,0.114,0.278,50.827,audio_features,727Z2S2mtNH46CbP9EWPwY,spotify:track:727Z2S2mtNH46CbP9EWPwY,https://api.spotify.com/v1/tracks/727Z2S2mtNH46CbP9EWPwY,https://api.spotify.com/v1/audio-analysis/727Z2S2mtNH46CbP9EWPwY,217352.0,4.0,Album-Cover-GAN/images/727Z2S2mtNH46CbP9EWPwY.jpeg,
0.604,0.366,5.0,-7.519,1.0,0.0282,0.578,0.0,0.133,0.13,141.981,audio_features,0gplL1WMoJ6iYaPgMCL0gX,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,https://api.spotify.com/v1/tracks/0gplL1WMoJ6iYaPgMCL0gX,https://api.spotify.com/v1/audio-analysis/0gplL1WMoJ6iYaPgMCL0gX,224695.0,4.0,Album-Cover-GAN/images/0gplL1WMoJ6iYaPgMCL0gX.jpeg,
0.918,0.517,2.0,-7.085,1.0,0.156,0.0365,0.0,0.0998,0.158,131.983,audio_features,5no1uAP51SFQzZqITUxsfG,spotify:track:5no1uAP51SFQzZqITUxsfG,https://api.spotify.com/v1/tracks/5no1uAP51SFQzZqITUxsfG,https://api.spotify.com/v1/audio-analysis/5no1uAP51SFQzZqITUxsfG,102873.0,4.0,Album-Cover-GAN/images/5no1uAP51SFQzZqITUxsfG.jpeg,
0.788,0.673,8.0,-7.357,1.0,0.195,0.0502,0.0,0.359,0.866,117.932,audio_features,4f0pJ7NNHAsrWbQBwiHMRJ,spotify:track:4f0pJ7NNHAsrWbQBwiHMRJ,https://api.spotify.com/v1/tracks/4f0pJ7NNHAsrWbQBwiHMRJ,https://api.spotify.com/v1/audio-analysis/4f0pJ7NNHAsrWbQBwiHMRJ,148394.0,4.0,Album-Cover-GAN/images/4f0pJ7NNHAsrWbQBwiHMRJ.jpeg,
0.584,0.915,6.0,-3.199,0.0,0.11,0.00686,0.000155,0.098,0.57,181.882,audio_features,4vOoQh9MhS9pyrbvc8LyMz,spotify:track:4vOoQh9MhS9pyrbvc8LyMz,https://api.spotify.com/v1/tracks/4vOoQh9MhS9pyrbvc8LyMz,https://api.spotify.com/v1/audio-analysis/4vOoQh9MhS9pyrbvc8LyMz,196940.0,4.0,Album-Cover-GAN/images/4vOoQh9MhS9pyrbvc8LyMz.jpeg,
0.742,0.677,10.0,-5.255,1.0,0.0658,0.146,0.000126,0.131,0.291,101.971,audio_features,6xShwxe9hzJuKOsjVyoSSQ,spotify:track:6xShwxe9hzJuKOsjVyoSSQ,https://api.spotify.com/v1/tracks/6xShwxe9hzJuKOsjVyoSSQ,https://api.spotify.com/v1/audio-analysis/6xShwxe9hzJuKOsjVyoSSQ,146111.0,4.0,Album-Cover-GAN/images/6xShwxe9hzJuKOsjVyoSSQ.jpeg,
0.818,0.526,1.0,-8.078,1.0,0.277,0.0103,0.0,0.146,0.531,125.061,audio_features,0UMqDSXk4xvoCNRrIEPf7T,spotify:track:0UMqDSXk4xvoCNRrIEPf7T,https://api.spotify.com/v1/tracks/0UMqDSXk4xvoCNRrIEPf7T,https://api.spotify.com/v1/audio-analysis/0UMqDSXk4xvoCNRrIEPf7T,214594.0,4.0,Album-Cover-GAN/images/0UMqDSXk4xvoCNRrIEPf7T.jpeg,
0.758,0.463,10.0,-10.526,0.0,0.214,0.297,0.0,0.327,0.553,141.949,audio_features,7vPwL4WkrqMCC3XbummsMo,spotify:track:7vPwL4WkrqMCC3XbummsMo,https://api.spotify.com/v1/tracks/7vPwL4WkrqMCC3XbummsMo,https://api.spotify.com/v1/audio-analysis/7vPwL4WkrqMCC3XbummsMo,135625.0,4.0,Album-Cover-GAN/images/7vPwL4WkrqMCC3XbummsMo.jpeg,
0.523,0.675,4.0,-7.224,1.0,0.0494,0.561,0.0,0.078,0.681,139.996,audio_features,7gRTDxpQ1paYETKq92pxa6,spotify:track:7gRTDxpQ1paYETKq92pxa6,https://api.spotify.com/v1/tracks/7gRTDxpQ1paYETKq92pxa6,https://api.spotify.com/v1/audio-analysis/7gRTDxpQ1paYETKq92pxa6,213150.0,4.0,Album-Cover-GAN/images/7gRTDxpQ1paYETKq92pxa6.jpeg,
0.911,0.573,2.0,-5.573,1.0,0.163,0.0112,5.83e-05,0.131,0.145,144.026,audio_features,0AAVJIN4plafvmNKqRCltG,spotify:track:0AAVJIN4plafvmNKqRCltG,https://api.spotify.com/v1/tracks/0AAVJIN4plafvmNKqRCltG,https://api.spotify.com/v1/audio-analysis/0AAVJIN4plafvmNKqRCltG,271840.0,4.0,Album-Cover-GAN/images/0AAVJIN4plafvmNKqRCltG.jpeg,
0.623,0.826,7.0,-7.113,0.0,0.377,0.0526,0.0,0.38,0.61,92.47,audio_features,0FUyWvKSofJRmkTWvwzf5b,spotify:track:0FUyWvKSofJRmkTWvwzf5b,https://api.spotify.com/v1/tracks/0FUyWvKSofJRmkTWvwzf5b,https://api.spotify.com/v1/audio-analysis/0FUyWvKSofJRmkTWvwzf5b,146611.0,4.0,Album-Cover-GAN/images/0FUyWvKSofJRmkTWvwzf5b.jpeg,
0.274,0.956,4.0,-4.978,1.0,0.0814,1.37e-05,1.33e-06,0.117,0.339,150.207,audio_features,6mgzUNNr3NY6NbTzNzwYq9,spotify:track:6mgzUNNr3NY6NbTzNzwYq9,https://api.spotify.com/v1/tracks/6mgzUNNr3NY6NbTzNzwYq9,https://api.spotify.com/v1/audio-analysis/6mgzUNNr3NY6NbTzNzwYq9,258648.0,4.0,Album-Cover-GAN/images/6mgzUNNr3NY6NbTzNzwYq9.jpeg,
